LABEL_NAME;LVLID;STATUS
GUECKEDOU;GNP007006000000000000;2
MACENTA;GNP007005000000000000;3
DABOLA;GNP002002000000000000;2
KISSIDOUGO;GNP002004000000000000;2
DINGUIRAYE;GNP002001000000000000;2
TELIMELE;GNP004001000000000000;2
BOFFA;GNP008002000000000000;1
KOUROUSSA;GNP003001000000000000;2
SIGUIRI;GNP003003000000000000;2
PITA;GNP006001000000000000;2
N'ZEREKORE;GNP007004000000000000;2
YOMOU;GNP007001000000000000;2
DUBREKA;GNP004002000000000000;1
FORECARIAH;GNP004004000000000000;1
KEROUANE;GNP003005000000000000;2
COYAH;GNP004005000000000000;1
DALABA;GNP006003000000000000;2
BEYLA;GNP007003000000000000;2
KINDIA;GNP004003000000000000;1
LOLA;GNP007002000000000000;2
BOKE;GNP008001000000000000;3
MAMOU;GNP006002000000000000;
FARANAH;GNP002003000000000000;2
KANKAN;GNP003004000000000000;2
MANDIANA;GNP003002000000000000;
KOUBIA;GNP005001000000000000;
MALI;GNP005002000000000000;2
LABE;GNP005003000000000000;
LELOUMA;GNP005004000000000000;
TOUGUE;GNP005005000000000000;2
KOUNDARA;GNP008003000000000000;
FRIA;GNP008004000000000000;1
GAOUAL;GNP008005000000000000;
CONAKRY;GNP001001000000000000;1
