FID;name;code;name_sa;lat;lon
0;Labé;GNP005003000000000000;Labe;11.3817996978759;-12.3076000213623
1;Macenta;GNP007005000000000000;Macenta;8.45176982879638;-9.34173011779785
2;Gaoual;GNP008005000000000000;Gaoual;11.722900390625;-13.3534002304077
3;N'zérékoré;GNP007004000000000000;N'zerekore;7.95227003097534;-8.79666996002197
4;Coyah;GNP004005000000000000;Coyah;9.73499965667724;-13.3166999816894
5;Kissidougou;GNP002004000000000000;Kissidougou;9.24269008636474;-10.0272998809814
6;Mali;GNP005002000000000000;Mali;12.0981998443603;-12.1736001968383
7;Dubréka;GNP004002000000000000;Dubreka;10.128999710083;-13.4886999130249
8;Boké;GNP008001000000000000;Boke;11.0951995849609;-14.3228998184204
9;Télimélé;GNP004001000000000000;Telimélé;10.9173002243041;-13.3622999191284
10;Koubia;GNP005001000000000000;Koubia;11.7750997543334;-11.7929000854492
11;Forécariah;GNP004004000000000000;Forecariah;9.41079998016357;-13.0479001998901
12;Dabola;GNP002002000000000000;Dabola;10.7297000885009;-11.0628995895385
13;Kouroussa;GNP003001000000000000;Kouroussa;10.7272996902465;-9.95526981353759
14;Yomou;GNP007001000000000000;Yomou;7.53864002227783;-9.11038017272949
15;Fria;GNP008004000000000000;Fria;10.5073995590209;-13.5868997573852
16;Lelouma;GNP005004000000000000;Lelouma;11.4520998001098;-12.6522998809814
17;Kankan;GNP003004000000000000;Kankan;10.208399772644;-9.20888996124267
18;Mandiana;GNP003002000000000000;Mandiana;10.5629997253417;-8.58609962463378
19;Kindia;GNP004003000000000000;Kindia;10.0932998657226;-12.7427997589111
20;Siguiri;GNP003003000000000000;Siguiri;11.6793003082275;-9.47321987152099
21;Koundara;GNP008003000000000000;Koundara;12.3711004257202;-13.1957998275756
22;Dinguiraye;GNP002001000000000000;Dinguiraye;11.6078996658325;-10.7248001098632
23;Pita;GNP006001000000000000;Pita;10.8965997695922;-12.6358003616333
24;Faranah;GNP002003000000000000;Faranah;9.99227046966552;-10.7392997741699
25;Beyla;GNP007003000000000000;Beyla;8.89395999908447;-8.33230972290039
26;Dalaba;GNP006003000000000000;Dalaba;10.9131002426147;-12.1403999328613
27;Boffa;GNP008002000000000000;Boffa;10.3756999969482;-14.0522003173828
28;Guéckédou;GNP007006000000000000;Gueckedou;8.69818973541259;-10.2959003448486
29;Lola;GNP007002000000000000;Lola;7.98479986190795;-8.32474994659423
30;Mamou;GNP006002000000000000;Mamou;10.4931001663208;-11.8052997589111
31;Tougué;GNP005005000000000000;Tougue;11.500599861145;-11.5170001983642
32;Conakry;GNP001001000000000000;Conakry;9.62672042846679;-13.5614004135131
33;Kérouane;GNP003005000000000000;Kerouane;9.10461997985839;-9.17755031585693
