id;nom;code;pref;localite;reticence;reticence2
26;Bintimodia;GIN00100201;Boke;;;
331;Matoto;GIN00200104;Conakry;;;
103;Douprou;GIN00100102;Boffa;;;
325;Tougnifily;GIN00100108;Boffa;;;
30;Alassoya;GIN00500301;Forecariah;;;
40;Albadariah;GIN00300401;Kissidougou;;;
31;Arfamoussayah;GIN00300101;Dabola;;;
32;Babila;GIN00400301;Kouroussa;;;
33;Badi;GIN00500201;Dubreka;;;
35;Baguinet;GIN00100501;Fria;;;
41;Balaki;GIN00600401;Mali;;;
42;Balandougou;GIN00400101;Kankan;;;
43;Balandougouba;GIN00400401;Mandiana;;;
44;Balato;GIN00400302;Kouroussa;;;
37;Balaya;GIN00600301;Lelouma;;;
38;Balizia;GIN00800401;Macenta;;;
27;Banama;GIN00300402;Kissidougou;;;
29;Banankoro;GIN00400201;Kerouane;;;
36;Banfele;GIN00400303;Kouroussa;;;
45;Bangouya;GIN00500401;Kindia;;;
46;Banguigny;GIN00100502;Fria;;;
327;Banian;GIN00300301;Faranah;;;
47;Banie;GIN00800601;Yomou;;;
48;Banko;GIN00300102;Dabola;;;
49;Bankon;GIN00400501;Siguiri;;;
52;Banora;GIN00300201;Dinguiraye;;;
53;Bantignel;GIN00700301;Pita;;;
55;Bardou;GIN00300403;Kissidougou;;;
56;Baro;GIN00400304;Kouroussa;;;
50;Bate-Nafadji;GIN00400102;Kankan;;;
57;Beindou;GIN00300404;Kissidougou;;;
58;Beindou;GIN00300302;Faranah;;;
59;Benty;GIN00500302;Forecariah;;;
60;Beyla-Centre;GIN00800101;Beyla;;;
61;Bheeta;GIN00800602;Yomou;;;
62;Bignamou;GIN00800603;Yomou;;;
39;Binikala;GIN00800402;Macenta;;;
63;Bissikrima;GIN00300103;Dabola;;;
64;Bodie;GIN00700101;Dalaba;;;
65;Boffa-Centre;GIN00100101;Boffa;;;
66;Bofossou;GIN00800403;Macenta;;;
54;Boke-Centre;GIN00100202;Boke;;;
67;Bolodou;GIN00800201;Gueckedou;;;
68;Boola;GIN00800102;Beyla;;;
69;Bossou;GIN00800301;Lola;;;
70;Boula;GIN00400103;Kankan;;;
72;Bouliwel;GIN00700201;Mamou;;;
74;Bounouma;GIN00800501;N'zerekore;;;
13;Bourouwal;GIN00500501;Telimele;;;
75;Bowe;GIN00800604;Yomou;;;
76;Brouwal Tape;GIN00700302;Pita;;;
80;Cissela;GIN00400305;Kouroussa;;;
28;Coyah-Centre;GIN00500101;Coyah;;;
81;Dabiss;GIN00100203;Boke;;;
82;Dabola-Centre;GIN00300104;Dabola;;;
83;Dalaba-Centre;GIN00700102;Dalaba;;;
84;Dalein;GIN00600201;Labe;;;
71;Damakania;GIN00500402;Kindia;;;
77;Damaro;GIN00400202;Kerouane;;;
78;Daralabe;GIN00600202;Labe;;;
14;Daramagnaky;GIN00500502;Telimele;;;
85;Daro;GIN00800404;Macenta;;;
86;Dialakoro;GIN00300202;Dinguiraye;;;
87;Dialokoro;GIN00400402;Mandiana;;;
88;Diaraguerela;GIN00800103;Beyla;;;
89;Diari;GIN00600203;Labe;;;
90;Diassodou;GIN00800104;Beyla;;;
91;Diatifere;GIN00300203;Dinguiraye;;;
92;Diecke;GIN00800605;Yomou;;;
93;Dinguiraye-Centre;GIN00300204;Dinguiraye;;;
94;Dionfo;GIN00600204;Labe;;;
95;Diontou;GIN00600302;Lelouma;;;
96;Ditinn;GIN00700103;Dalaba;;;
328;Dixinn;GIN00200101;Conakry;;;
79;Dogomet;GIN00300105;Dabola;;;
97;Doko;GIN00400502;Siguiri;;;
98;Donghol Sigon;GIN00600402;Mali;;;
99;Donghol Touma;GIN00700303;Pita;;;
100;Douako;GIN00400306;Kouroussa;;;
101;Dougountouny;GIN00600403;Mali;;;
102;Dounet;GIN00700202;Mamou;;;
104;Doura;GIN00400307;Kouroussa;;;
105;Dubreka-Centre;GIN00500202;Dubreka;;;
106;Fafaya;GIN00600101;Koubia;;;
107;Falessade;GIN00500203;Dubreka;;;
109;Fangamadou;GIN00800202;Gueckedou;;;
110;Faralako;GIN00400403;Mandiana;;;
111;Faranah-Centre;GIN00300303;Faranah;;;
112;Farmoriah;GIN00500303;Forecariah;;;
113;Fassankoni;GIN00800405;Macenta;;;
114;Fatako;GIN00600501;Tougue;;;
116;Fello Koundoua;GIN00600502;Tougue;;;
117;Fermessadou-Pombo;GIN00300405;Kissidougou;;;
118;Firawa;GIN00300406;Kissidougou;;;
119;Forecariah-Centre;GIN00500304;Forecariah;;;
120;Fouala;GIN00800105;Beyla;;;
121;Fougou;GIN00600404;Mali;;;
124;Foulamory;GIN00100301;Gaoual;;;
125;Foumbadou;GIN00800302;Lola;;;
126;Franwalia;GIN00400503;Siguiri;;;
127;Fria-Centre;GIN00100503;Fria;;;
128;Friguiagbe;GIN00500403;Kindia;;;
129;Gadha Woundou;GIN00600102;Koubia;;;
130;Gagnakaly;GIN00300205;Dinguiraye;;;
131;Gama Berema;GIN00800303;Lola;;;
132;Gaoual-Centre;GIN00100302;Gaoual;;;
73;Garambe;GIN00600205;Labe;;;
115;Gayah;GIN00600405;Mali;;;
122;Gbakedou;GIN00800106;Beyla;;;
123;Gbangbadou;GIN00300407;Kissidougou;;;
108;Gberedou Baranama;GIN00400104;Kankan;;;
133;Gbessoba;GIN00800107;Beyla;;;
134;Gnaleah;GIN00300304;Faranah;;;
135;Gongoret;GIN00700304;Pita;;;
136;Gongoret;GIN00700203;Mamou;;;
137;Gouecke;GIN00800502;N'zerekore;;;
15;Gougoudje;GIN00500503;Telimele;;;
139;Gueassou;GIN00800304;Lola;;;
140;Gueckedou-Centre;GIN00800203;Gueckedou;;;
141;Guendembou;GIN00800204;Gueckedou;;;
142;Guinguan;GIN00100401;Koundara;;;
143;Hafia;GIN00600206;Labe;;;
138;Heremakono;GIN00300305;Faranah;;;
144;Herico;GIN00600303;Lelouma;;;
145;Hidayatou;GIN00600406;Mali;;;
146;Kaala;GIN00700104;Dalaba;;;
147;Kaalan;GIN00600207;Labe;;;
148;Kaback;GIN00500305;Forecariah;;;
149;Kakony;GIN00100303;Gaoual;;;
25;Kakossa;GIN00500306;Forecariah;;;
153;Kalinko;GIN00300206;Dinguiraye;;;
152;Kallia;GIN00500307;Forecariah;;;
332;Kaloum;GIN00200102;Conakry;;;
154;Kamabi;GIN00100402;Koundara;;;
155;Kamsar;GIN00100204;Boke;;;
160;Kanfamoriyah;GIN00400106;Kankan;;;
335;Kanfarande;GIN00100205;Boke;;;
156;Kankalabe;GIN00700105;Dalaba;;;
150;Kankama;GIN00300106;Dabola;;;
151;Kankan-Centre;GIN00400105;Kankan;;;
157;Kansangui;GIN00600503;Tougue;;;
158;Kantoumanina;GIN00400404;Mandiana;;;
159;Karala;GIN00800108;Beyla;;;
161;Kassadou;GIN00800205;Gueckedou;;;
162;Kebali;GIN00700106;Dalaba;;;
163;Kegneko;GIN00700204;Mamou;;;
164;Kerouane-Centre;GIN00400203;Kerouane;;;
333;Khorira;GIN00500204;Dubreka;;;
165;Kindia-Centre;GIN00500404;Kindia;;;
167;Kindoye;GIN00300107;Dabola;;;
168;Kiniebakoura;GIN00400504;Siguiri;;;
169;Kinieran;GIN00400405;Mandiana;;;
170;Kiniero;GIN00400308;Kouroussa;;;
174;Kintinian;GIN00400505;Siguiri;;;
175;Kissidougou-Centre;GIN00300408;Kissidougou;;;
16;Koba;GIN00500504;Telimele;;;
176;Koba;GIN00700107;Dalaba;;;
177;Koba-Tatema;GIN00100103;Boffa;;;
171;Kobela;GIN00800503;N'zerekore;;;
178;Kobikoro;GIN00300306;Faranah;;;
338;Koin;GIN00600504;Tougue;;;
166;Kokota;GIN00800305;Lola;;;
172;Kolaboui;GIN00100206;Boke;;;
173;Kolangui;GIN00600505;Tougue;;;
179;Kolente;GIN00500405;Kindia;;;
181;Kolet;GIN00600506;Tougue;;;
180;Kolia;GIN00100104;Boffa;;;
17;Kollet;GIN00500505;Telimele;;;
182;Komodou;GIN00400204;Kerouane;;;
185;Komola Khoura;GIN00400309;Kouroussa;;;
186;Konah;GIN00600507;Tougue;;;
187;Kondiadou;GIN00300409;Kissidougou;;;
188;Konendou;GIN00300108;Dabola;;;
183;Konsankoro;GIN00400205;Kerouane;;;
18;Konsotami;GIN00500506;Telimele;;;
184;Korbe;GIN00600304;Lelouma;;;
190;Koropara;GIN00800504;N'zerekore;;;
191;Kouankan;GIN00800406;Macenta;;;
192;Koubia-Centre;GIN00600103;Koubia;;;
193;Koule;GIN00800505;N'zerekore;;;
194;Koumana;GIN00400310;Kouroussa;;;
197;Koumandou;GIN00800109;Beyla;;;
199;Koumban;GIN00400107;Kankan;;;
202;Koumbia;GIN00100304;Gaoual;;;
203;Koundara-Centre;GIN00100403;Koundara;;;
204;Koundian;GIN00400406;Mandiana;;;
205;Koundianakoro;GIN00400407;Mandiana;;;
198;Koundou;GIN00800206;Gueckedou;;;
207;Kounkoure;GIN00700205;Mamou;;;
210;Kounsitel;GIN00100305;Gaoual;;;
211;Kouramangui;GIN00600208;Labe;;;
212;Kouratongo;GIN00600508;Tougue;;;
213;Kouriah;GIN00500102;Coyah;;;
214;Kouroussa-Centre;GIN00400311;Kouroussa;;;
215;Koyamah;GIN00800407;Macenta;;;
189;Labe-Centre;GIN00600209;Labe;;;
195;Lafou;GIN00600305;Lelouma;;;
196;Laine;GIN00800306;Lola;;;
200;Lansanaya;GIN00300207;Dinguiraye;;;
201;Lebekeren;GIN00600407;Mali;;;
